Unnamed: 0,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat,weekends,city,geometry,index_right,gml_id,Gemeinde_name,Gemeinde_schluessel,Land_name,Land_schluessel,Schluessel_gesamt
0,194.0336981229349,Private room,0,1,2,0,1,0,10,93,1,5.022963798088291,2.539380002594493,78.69037927190317,4.166707868490748,98.25389587009934,6.846472824200016,4.90569,52.41772,0,Amsterdam,POINT (4.90569 52.41772),,,,,,,
1,344.2457760176224,Private room,0,1,4,0,0,0,8,85,1,0.4883892888289836,0.2394039228349863,631.1763782503964,33.4212086152754,837.2807567422693,58.34292774344904,4.90005,52.37432,0,Amsterdam,POINT (4.90005 52.37432),,,,,,,
2,264.1014224451058,Private room,0,1,2,0,0,1,9,87,1,5.748311915159562,3.651621288793656,75.27587691428164,3.985907699879009,95.3869549262145,6.646700254501156,4.97512,52.36103,0,Amsterdam,POINT (4.97512 52.36103),,,,,,,
3,433.5293979799874,Private room,0,1,4,0,0,1,9,90,2,0.384862012821602,0.4398760761319157,493.2725344307087,26.11910845442667,875.0330975776227,60.97356516795285,4.89417,52.37663,0,Amsterdam,POINT (4.89417 52.37663),,,,,,,
4,485.5529257375859,Private room,0,1,2,1,0,0,10,98,1,0.5447381834292384,0.3186926468416831,552.8303243593364,29.27273300448826,815.3057399687838,56.81167695874816,4.90051,52.37508,0,Amsterdam,POINT (4.90051 52.37508),,,,,,,
5,552.808567478265,Private room,0,1,3,0,0,0,8,100,2,2.13142008057136,1.904668241410844,174.7889567505081,9.255191398952537,225.2016623739939,15.69237583664536,4.87699,52.38966,0,Amsterdam,POINT (4.87699 52.38966),,,,,,,
6,215.1243174841235,Private room,0,1,2,0,0,0,10,94,1,1.881091564371074,0.7297467390303181,200.1676516320246,10.59901015587391,242.7655236582651,16.91625096043449,4.9157,52.38296,0,Amsterdam,POINT (4.9157 52.38296),,,,,,,
8,1001.804419656457,Entire home/apt,0,0,4,0,0,0,9,96,2,3.719141398657261,1.196112352871668,106.2264562171462,5.624761439165013,133.8762019420824,9.328686361865822,4.86459,52.40175,0,Amsterdam,POINT (4.86459 52.40175),,,,,,,
9,276.5214538466947,Private room,0,1,2,0,1,0,10,88,1,3.142361425629701,0.9244044386046626,206.2528615435097,10.92122606402186,238.2912577844197,16.60447767712338,4.876,52.347,0,Amsterdam,POINT (4.876 52.347),,,,,,,
10,909.4743748974762,Entire home/apt,0,0,2,0,0,0,10,96,1,1.009922024863497,0.9171150679278918,409.8581244623681,21.7022600216641,555.1142756474727,38.68116138184085,4.87956,52.36953,0,Amsterdam,POINT (4.87956 52.36953),,,,,,,
11,319.6400534295691,Private room,0,1,2,1,1,0,10,97,1,2.182707104451588,1.590381362751412,191.5013391798073,10.14012315317336,229.2974006338031,15.97777277121468,4.92496,52.37107,0,Amsterdam,POINT (4.92496 52.37107),,,,,,,
12,675.6028402034074,Entire home/apt,0,0,4,0,0,0,8,87,1,2.933045843291957,0.6280730466725806,214.9233419303541,11.38033376163032,269.6249040166742,18.7878512269707,4.88934,52.34697,0,Amsterdam,POINT (4.88934 52.34697),,,,,,,
13,552.808567478265,Entire home/apt,0,0,2,1,0,0,10,100,1,1.30549393158984,1.342162407690952,325.2559516150373,17.22251875524661,390.9120520454746,27.23931420001919,4.87417,52.37509,0,Amsterdam,POINT (4.87417 52.37509),,,,,,,
14,209.0314718908913,Private room,0,1,2,0,1,0,8,96,1,7.304535266554101,3.720813885628837,59.7761806926462,3.165188486126733,75.70105653114125,5.274958531811383,4.99679,52.35645,0,Amsterdam,POINT (4.99679 52.35645),,,,,,,
15,368.8514986056758,Private room,0,1,2,1,0,0,10,98,1,1.031100608959269,0.5578845347320643,359.9219321516827,19.0581054585701,439.950562026628,30.65638812825414,4.908090000000001,52.37455,0,Amsterdam,POINT (4.908090000000001 52.37455),,,,,,,
16,368.8514986056758,Private room,0,1,2,0,0,0,10,90,1,1.327797157439684,0.119528106734041,539.0128842344288,28.54109036883752,573.8965719683101,39.98993881196633,4.88971,52.36148,0,Amsterdam,POINT (4.88971 52.36148),,,,,,,
17,337.9185902092659,Private room,0,1,2,1,1,0,10,97,1,1.366334237967106,0.5349334596105503,576.0828256376159,30.50396839736294,845.9576160170283,58.94754378129637,4.88368,52.36239,0,Amsterdam,POINT (4.88368 52.36239),,,,,,,
18,313.5472078363368,Private room,0,1,2,1,1,0,10,96,1,1.289759230302718,0.5521164877855617,528.9405557143664,28.00775388111325,1023.904784921606,71.34715852694718,4.8839,52.3631,0,Amsterdam,POINT (4.8839 52.3631),,,,,,,
19,447.5898108874465,Entire home/apt,0,0,2,0,1,0,9,93,1,1.057619331436455,1.06533912599909,422.8529061953185,22.39034234884303,476.6969918388211,33.21693222543855,4.87757,52.37336,0,Amsterdam,POINT (4.87757 52.37336),,,,,,,
20,243.2451432990416,Private room,0,1,2,1,1,0,10,96,1,2.870632843802539,1.278894075119362,169.6957545063243,8.985502955930471,210.2676921249727,14.65175530387267,4.85206,52.36734000000001,0,Amsterdam,POINT (4.85206 52.36734000000001),,,,,,,
21,933.8457572704052,Entire home/apt,0,0,4,0,0,0,10,96,2,1.014066426791865,0.3771036873075551,477.7940701845302,25.29951348788249,664.0532506071172,46.27218588985111,4.89088,52.36422,0,Amsterdam,POINT (4.89088 52.36422),,,,,,,
22,251.9157312586413,Private room,0,1,2,0,1,0,10,97,1,1.247083666976706,1.098774337645081,267.325989604784,14.15508877507777,366.4646497953599,25.53578403823317,4.886419999999999,52.38367,0,Amsterdam,POINT (4.886419999999999 52.38367),,,,,,,
23,377.2877463501512,Private room,0,1,2,0,0,0,10,98,1,1.167492301434931,0.9837430031835354,278.8005953800662,14.762676775213,383.5778925726072,26.72825941613844,4.88799,52.38325,0,Amsterdam,POINT (4.88799 52.38325),,,,,,,
24,245.5885454502848,Private room,0,1,2,1,1,0,10,96,1,4.230634296706812,2.687144039939682,92.21360220413766,4.882771508296015,116.2171437250083,8.098177778837142,4.89595,52.41122,0,Amsterdam,POINT (4.89595 52.41122),,,,,,,
25,217.702059850491,Private room,0,1,2,0,1,0,8,93,1,4.180814737167991,2.80843797194201,93.27076366905054,4.938748910297056,117.7596559934644,8.2056622529484,4.89375,52.41081,0,Amsterdam,POINT (4.89375 52.41081),,,,,,,
26,295.0343308415157,Private room,0,1,2,0,1,0,10,95,1,3.366018582385255,0.2258822993056595,170.0286974417509,9.003132505586176,217.1552314267171,15.13168895166762,4.895,52.343,0,Amsterdam,POINT (4.895 52.343),,,,,,,
27,295.0343308415157,Private room,0,1,2,0,0,0,10,94,1,4.127280018544178,0.8393253845123759,129.2296994796346,6.84279845448336,164.4050090174131,11.45597756131946,4.84631,52.34966,0,Amsterdam,POINT (4.84631 52.34966),,,,,,,
28,1032.971668267992,Entire home/apt,0,0,4,0,1,0,9,96,2,2.161607613910167,1.424169426575825,183.3652586017567,9.709312280524,222.3896893328925,15.49643350949595,4.92432,52.37676,0,Amsterdam,POINT (4.92432 52.37676),,,,,,,
29,270.4286082534624,Private room,0,1,4,1,0,0,10,98,1,4.88547764075742,1.094836811315828,91.66621199798304,4.853786833165169,114.6743433040258,7.99067322584327,4.82174,52.37781,0,Amsterdam,POINT (4.82174 52.37781),,,,,,,
30,524.6877416633469,Entire home/apt,0,0,2,0,0,1,9,89,1,1.126326972305574,1.121070545798018,386.3649664864131,20.4582816967425,462.8059339006022,32.24898332294269,4.87657,52.37288,0,Amsterdam,POINT (4.87657 52.37288),,,,,,,
31,599.6766105031285,Entire home/apt,0,0,4,0,0,0,9,94,3,3.363590724697365,0.6974224938368218,156.2371148422606,8.27285904308738,198.8741211412826,13.85783488555604,4.90806,52.34442,0,Amsterdam,POINT (4.90806 52.34442),,,,,,,
32,516.0171537037471,Entire home/apt,0,0,4,0,0,0,9,100,2,1.07116834613958,0.3825354028755497,487.8730215579427,25.83320066009222,702.9288761319568,48.98109540761191,4.888809999999999,52.36397,0,Amsterdam,POINT (4.888809999999999 52.36397),,,,,,,
33,602.254352869496,Entire home/apt,0,0,3,0,0,0,10,100,2,3.856290112898853,0.7279622388446657,148.7241029648092,7.875040072134487,184.2598482647537,12.83949132565403,4.86021,52.34502,0,Amsterdam,POINT (4.86021 52.34502),,,,,,,
34,504.065802732407,Entire home/apt,0,0,4,0,0,0,9,94,2,4.075247886453735,1.873410991198573,98.63663409362889,5.22287531464615,122.1255419047339,8.50988346453865,4.94798,52.38786,0,Amsterdam,POINT (4.94798 52.38786),,,,,,,
36,310.9694654699693,Entire home/apt,0,0,2,0,1,0,9,94,0,4.147086685675081,0.0383546937010648,118.7788846531351,6.289420865346949,151.3763929154923,10.5481248467903,4.92058,52.33997,0,Amsterdam,POINT (4.92058 52.33997),,,,,,,
37,202.7042860825347,Private room,0,1,2,0,0,0,10,94,1,5.611750155516678,3.911722315852436,71.34500903762175,3.777765633933668,89.08448605879362,6.207535156323151,4.885,52.42343,0,Amsterdam,POINT (4.885 52.42343),,,,,,,
38,796.2880509924308,Entire home/apt,0,0,4,0,0,0,10,94,2,2.854991669029669,1.702583372752487,202.843104509214,10.74067716343327,271.3813254288273,18.91024119797041,4.8588,52.35848,0,Amsterdam,POINT (4.8588 52.35848),,,,,,,
39,504.065802732407,Private room,0,1,2,0,0,0,9,96,1,6.411657372487183,4.143226904079955,67.21539749302899,3.559099958715495,83.9984255268359,5.853131141032784,4.98597,52.36376,0,Amsterdam,POINT (4.98597 52.36376),,,,,,,
40,319.6400534295691,Private room,0,1,2,0,0,1,10,95,1,0.5403538681782272,0.3386577422231185,558.6099219244412,29.5787665358304,816.9103767160349,56.92349035592166,4.90032,52.37525,0,Amsterdam,POINT (4.90032 52.37525),,,,,,,
